Angle;Correlation_p0;Correlation_p1;Correlation_p2;Ionization_Calibration_p0;Ionization_Calibration_p1;Ionization_Calibration_p2;Ionization_Resolution_p0;Ionization_Resolution_p1;Ionization_Resolution_p2;Ionization_TriggerEfficiency_p0;Ionization_TriggerEfficiency_p1;Multiplicity;Rotated_Calibration_p0;Rotated_Calibration_p1;Rotated_Calibration_p2;Rotated_Resolution_p0;Rotated_Resolution_p1;Rotated_Resolution_p2;Rotated_TriggerEfficiency_p0;Rotated_TriggerEfficiency_p1;Scintillation_Calibration_p0;Scintillation_Calibration_p1;Scintillation_Calibration_p2;Scintillation_Resolution_p0;Scintillation_Resolution_p1;Scintillation_Resolution_p2;Scintillation_TriggerEfficiency_p0;Scintillation_TriggerEfficiency_p1;TriggerEfficiency_Correlation_p0;WeekIndex;end_time;end_time_sec;start_time;start_time_sec
0.235179;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;MS;3.80966773603;0.614388249043;0.0;0.536773648056;16.8071226274;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;2011-09-16 11:00:00;1316170800;2000-01-01 00:00:00;946684800
0.219476;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;SS;-0.404054482883;0.628793995124;0.0;0.487940378531;18.6927173665;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;2011-09-16 11:00:00;1316170800;2000-01-01 00:00:00;946684800
0.235179;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;MS;3.80966773603;0.614388249043;0.0;0.536773648056;16.8071226274;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;2011-09-21 03:00:00;1316574000;2011-09-16 11:00:00;1316170800
0.219476;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;SS;-0.404054482883;0.628793995124;0.0;0.487940378531;18.6927173665;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;2011-09-21 03:00:00;1316574000;2011-09-16 11:00:00;1316170800
0.235179;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;MS;3.80966773603;0.614388249043;0.0;0.536773648056;16.8071226274;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2;2011-09-28 16:00:00;1317225600;2011-09-21 03:00:00;1316574000
0.219476;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;SS;-0.404054482883;0.628793995124;0.0;0.487940378531;18.6927173665;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2;2011-09-28 16:00:00;1317225600;2011-09-21 03:00:00;1316574000
0.235179;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;MS;3.80966773603;0.614388249043;0.0;0.536773648056;16.8071226274;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3;2011-10-01 01:13:00;1317431580;2011-09-28 16:00:00;1317225600
0.219476;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;SS;-0.404054482883;0.628793995124;0.0;0.487940378531;18.6927173665;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3;2011-10-01 01:13:00;1317431580;2011-09-28 16:00:00;1317225600
0.235179;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;MS;3.80966773603;0.614388249043;0.0;0.536773648056;16.8071226274;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4;2011-10-09 18:00:00;1318183200;2011-10-01 01:13:00;1317431580
0.219476;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;SS;-0.404054482883;0.628793995124;0.0;0.487940378531;18.6927173665;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4;2011-10-09 18:00:00;1318183200;2011-10-01 01:13:00;1317431580
0.235179;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;MS;3.80966773603;0.614388249043;0.0;0.536773648056;16.8071226274;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5;2011-10-21 11:00:00;1319194800;2011-10-09 18:00:00;1318183200
0.219476;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;SS;-0.404054482883;0.628793995124;0.0;0.487940378531;18.6927173665;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5;2011-10-21 11:00:00;1319194800;2011-10-09 18:00:00;1318183200
0.235179;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;MS;3.80966773603;0.614388249043;0.0;0.536773648056;16.8071226274;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6;2011-10-28 11:00:00;1319799600;2011-10-21 11:00:00;1319194800
0.219476;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;SS;-0.404054482883;0.628793995124;0.0;0.487940378531;18.6927173665;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6;2011-10-28 11:00:00;1319799600;2011-10-21 11:00:00;1319194800
